Unnamed: 0,Unnamed: 1,Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen
2020-12-31,55-Jährige,181134,216003.0,54751.0,46075.0,10599.0,27567.0,104978.0,27772.0,136639.0,302344.0,70192.0,17142.0,62659.0,37198.0,51557.0,34747.0
2020-12-31,56-Jährige,183319,218831.0,55538.0,47799.0,10453.0,27787.0,105385.0,29175.0,137453.0,305439.0,71557.0,17555.0,65109.0,38650.0,51954.0,36568.0
2020-12-31,57-Jährige,180338,214981.0,55060.0,49141.0,10175.0,26519.0,103041.0,30309.0,134903.0,298750.0,71303.0,17586.0,65831.0,39935.0,50413.0,37322.0
2020-12-31,58-Jährige,173988,207614.0,52204.0,48593.0,10009.0,24553.0,98640.0,30203.0,129954.0,285583.0,69329.0,17368.0,64529.0,39380.0,47814.0,36882.0
2020-12-31,59-Jährige,169971,203562.0,49336.0,47837.0,9446.0,23448.0,95573.0,30427.0,128273.0,278983.0,68746.0,17557.0,64390.0,39185.0,46509.0,37896.0
2020-12-31,60-Jährige,164309,194468.0,47004.0,45708.0,9157.0,22667.0,92069.0,29652.0,122098.0,271863.0,66206.0,16915.0,61707.0,37934.0,44203.0,35975.0
2020-12-31,61-Jährige,156842,187207.0,44852.0,44447.0,8955.0,21440.0,88715.0,28865.0,118080.0,263183.0,63727.0,17032.0,61068.0,36941.0,42743.0,35924.0
2020-12-31,62-Jährige,148439,177076.0,40957.0,40703.0,8531.0,20302.0,83567.0,27154.0,110813.0,248486.0,60151.0,16248.0,56262.0,34602.0,40081.0,33295.0
2020-12-31,63-Jährige,143169,170534.0,38997.0,39479.0,8462.0,19229.0,81123.0,26331.0,108383.0,241358.0,59152.0,15588.0,55786.0,33949.0,38857.0,33045.0
2020-12-31,64-Jährige,138575,163146.0,38113.0,39002.0,7978.0,18200.0,77706.0,26394.0,103498.0,230961.0,56683.0,14921.0,56518.0,34278.0,36602.0,33497.0
2020-12-31,65-Jährige,130515,153098.0,37395.0,38870.0,7723.0,17095.0,73903.0,26587.0,99205.0,220286.0,54282.0,14080.0,58266.0,34993.0,35486.0,33525.0
2020-12-31,66-Jährige,125191,148260.0,36590.0,38108.0,7438.0,16500.0,71872.0,26341.0,96541.0,214192.0,52848.0,14168.0,57476.0,33929.0,35119.0,32879.0
2020-12-31,67-Jährige,119513,141639.0,35589.0,37190.0,7141.0,15664.0,67864.0,25692.0,92742.0,202377.0,51153.0,13769.0,57379.0,33953.0,33343.0,32547.0
2020-12-31,68-Jährige,118531,141535.0,34866.0,36047.0,7064.0,15792.0,68184.0,24676.0,92855.0,198563.0,50456.0,13359.0,58003.0,33332.0,33030.0,31995.0
2020-12-31,69-Jährige,114210,135817.0,35150.0,34760.0,7053.0,15392.0,66441.0,23673.0,90948.0,190392.0,48909.0,12765.0,58811.0,31730.0,32768.0,31681.0
2020-12-31,70-Jährige,113886,136388.0,36311.0,32460.0,7007.0,15808.0,67678.0,21785.0,89981.0,188856.0,49082.0,12870.0,56040.0,30880.0,32879.0,29859.0
2020-12-31,71-Jährige,110970,132105.0,33715.0,27253.0,6984.0,15698.0,66643.0,18660.0,88231.0,186609.0,46884.0,12999.0,48610.0,27216.0,32419.0,26251.0
2020-12-31,72-Jährige,101277,124447.0,30630.0,23317.0,6440.0,15171.0,62012.0,15932.0,80989.0,168688.0,39912.0,11001.0,38742.0,22701.0,31325.0,22424.0
